canonical_smiles,molwt
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,755.387
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,802.387
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,630.444
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,709.34
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,756.34
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,636.473
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,715.369
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,762.369
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2ccccc21,615.373
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2cc(Br)ccc21,694.269
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2cc(I)ccc21,741.269
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2ccccc21,643.427
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2cc(Br)ccc21,722.323
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(I)ccc4[n+]3CC)C2=O)C(C)(C)c2cc(I)ccc21,769.323
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,658.442
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,737.338
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,784.338
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,659.426
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,738.322
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,785.322
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,743.612
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,822.508
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,869.508
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,723.491
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,802.387
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,849.387
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,677.444
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,756.34
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,803.34
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,683.473
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,762.369
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(I)ccc21,809.369
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,517.531
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,596.427
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,643.427
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCC)C2=O)C(C)(C)c2ccccc21,545.585
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(Br)ccc21,624.481
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(I)ccc21,671.481
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,560.6
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,639.496
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,686.496
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,561.584
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,640.48
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,687.48
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,645.77
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,724.666
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,771.666
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,625.649
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,704.545
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,751.545
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,579.602
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,658.498
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccccc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,705.498
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,585.631
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,664.527
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(Cc4ccsc4)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,711.527
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,596.427
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,675.323
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,722.323
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(Br)ccc4[n+]3CCCC)C2=O)C(C)(C)c2ccccc21,624.481
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(Br)ccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(Br)ccc21,703.377
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4cc(Br)ccc4[n+]3CCCC)C2=O)C(C)(C)c2cc(I)ccc21,750.377
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,639.496
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,718.392
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,765.392
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccccc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,640.48
CCCC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2cc(Br)ccc21,719.376
