activity_id,assay_id,molregno,smiles,standard_type,pampa_value,units,assay_description
1879138,436210,178714,Oc1ccc(Cl)cc1Cl,Papp,11.86,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879139,436210,381706,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,Papp,16.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879140,436210,381705,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,Papp,16.69,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879141,436210,381704,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,Papp,17.24,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879142,436210,85007,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,Papp,19.06,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879143,436210,381703,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,Papp,15.74,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879144,436210,381702,COP1(=S)OCc2ccccc2O1,Papp,9.39,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879145,436210,381701,CCc1ccc(C)nc1,Papp,2.85,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879146,436210,428699,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Papp,4.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879147,436210,381700,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,Papp,11.71,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879148,436210,381699,COc1nn(CSP(=S)(OC)OC)c(=O)s1,Papp,10.78,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879149,436210,381698,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Papp,5.21,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879150,436210,381697,CCC(C)c1ccccc1OC(=O)NC,Papp,12.42,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879151,436210,13725,c1ccc(-c2ccccc2)cc1,Papp,1.12,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879152,436210,381696,CCN(CC)C(=O)SCc1ccc(Cl)cc1,Papp,20.55,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879153,436210,16544,CCNc1nc(Cl)nc(NC(C)C)n1,Papp,29.18,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879154,436210,30111,O=C(O)c1ccccc1Nc1ccccc1,Papp,13.83,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879155,436210,16585,c1cc2ccc3cccc4ccc(c1)c2c34,Papp,2.22,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879156,436210,13456,Oc1ccccc1,Papp,47.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879157,436210,13329,Oc1ccc(O)cc1,Papp,7.31,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879158,436210,55991,c1ccc(Nc2ccccc2)cc1,Papp,3.1,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879159,436210,165740,COC(=O)c1ccccc1C(=O)OC,Papp,43.32,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879160,436210,381695,CCOC(=O)c1ccccc1C(=O)OCC,Papp,15.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879161,436210,13338,Nc1ccccc1,Papp,75.92,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879162,436210,13467,Nc1ccc([N+](=O)[O-])cc1,Papp,20.79,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879163,436210,105662,N#Cc1ccc(O)cc1,Papp,17.04,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879164,436210,16809,Nc1ccc(Cl)cc1,Papp,41.75,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879165,436210,13473,O=[N+]([O-])c1cccc(O)c1,Papp,17.09,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879166,436210,13478,Nc1cccc([N+](=O)[O-])c1,Papp,21.56,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879167,436210,191544,Nc1cccc(Cl)c1,Papp,36.69,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879168,436210,13415,O=[N+]([O-])c1ccccc1O,Papp,56.96,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879169,436210,13468,Nc1ccccc1[N+](=O)[O-],Papp,28.6,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879170,436210,66997,Cc1ccccc1O,Papp,52.1,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879171,436210,178653,Oc1ccccc1Cl,Papp,50,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879172,436210,381694,Nc1ccccc1Cl,Papp,33.14,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879173,436210,277098,O=[N+]([O-])c1cc(Cl)ccc1Cl,Papp,7.78,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879174,436210,38440,Cc1ccc(O)c(C)c1,Papp,24.34,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879560,436210,1278,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Papp,0.34,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879561,436210,822,C=CCc1ccccc1OCC(O)CNC(C)C,Papp,11.5,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1994510,450491,403155,CCCCCCc1ccc(C(=O)CCN2CCC(C(=O)OC)CC2)cc1,permeability,145,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994450,450491,403147,CCCCCCc1ccc(C(=O)CCN(C)CCc2ccccc2)cc1,permeability,57,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994488,450491,403160,CCCCCCc1ccc(C(=O)CCNCCC)cc1,permeability,254,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994506,450491,403159,CCCCCCc1ccc(C(=O)CCN(C2CCCCC2)C2CCCCC2)cc1,permeability,104,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994507,450491,403158,CCCCCCc1ccc(C(=O)CCN(C)Cc2ccco2)cc1,permeability,681,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994508,450491,403157,CCCCCCc1ccc(C(=O)CCN(C)C)cc1,permeability,2323,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994509,450491,403156,CCCCCCc1ccc(C(=O)CCN(CCCC)CCCC)cc1,permeability,1957,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994511,450491,403154,CCCCCCc1ccc(C(=O)CCN2CCOCC2)cc1,permeability,1210,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994512,450491,403153,CCCCCCc1ccc(C(=O)CCN(C(C)C)C(C)C)cc1,permeability,747,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994513,450491,403152,CCCCCCc1ccc(C(=O)CCN(C)CCO)cc1,permeability,965,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994558,450491,403182,CCCCCCc1ccc(C(=O)CC)cc1,permeability,0,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994559,450491,403181,CCCCCCCc1ccc(C(=O)/C=C/c2ccccc2)cc1,permeability,0,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994560,450491,403180,C/C=C(\C)C(=O)c1ccc(CCCCCCC)cc1,permeability,0,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994561,450491,403178,CCCCCCCc1ccc(C(=O)C=C(C)C)cc1,permeability,0,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994562,450491,403177,C=C(C)C(=O)c1ccc(CCCCCCC)cc1,permeability,43,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994563,450491,403173,C/C=C/C(=O)c1ccc(CCCCCCC)cc1,permeability,7,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994564,450491,403172,CCCCCCc1ccc(C(=O)/C=C\C(=O)O)cc1,permeability,66,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994565,450491,403171,C=CC(=O)c1ccc(CCCCCC)cc1,permeability,38,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994664,450491,403237,CCCCCCc1ccc(NC(=O)CCC(=O)O)cc1,permeability,48,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994665,450491,403234,C=C(CC(=O)Nc1ccc(CCCCCC)cc1)C(=O)O,permeability,57,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994666,450491,403233,CCCCCCc1ccc(NC(=O)/C=C/c2ccccc2)cc1,permeability,14,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994667,450491,403232,CCCCCCc1ccc(NC(=O)C=C(C)C)cc1,permeability,98,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994668,450491,403231,C/C=C/C(=O)Nc1ccc(CCCCCC)cc1,permeability,432,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994669,450491,403229,CCCCCCc1ccc(NC(=O)/C=C\C(=O)O)cc1,permeability,29,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994670,450491,403228,C=CC(=O)Nc1ccc(CCCCCC)cc1,permeability,833,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994711,450491,403246,CCCCCCc1ccc(C(=O)C2CO2)cc1,permeability,1117,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994712,450491,403245,CCCCCCc1ccc(C(=O)CCCBr)cc1,permeability,58,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994713,450491,403244,CCCCCCc1ccc(C(=O)CCBr)cc1,permeability,1190,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994714,450491,403243,CCCCCCc1ccc(C(=O)CF)cc1,permeability,974,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994715,450491,403241,CCCCCCc1ccc(C(=O)CCl)cc1,permeability,1029,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994716,450491,403240,C#CC(=O)Oc1ccc(CCCCCC)cc1,permeability,21,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
1994717,450491,403238,C#CC(=O)Nc1ccc(CCCCCC)cc1,permeability,621,10^-6 cm/s,Permeability across artificial membrane at pH 7.4 by PAMPA assay
2004191,451823,364520,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,permeability,8.67,10^6cm/s,Permeability across artificial membrane by PAMPA
2004192,451823,1279,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,permeability,0.002,10^6cm/s,Permeability across artificial membrane by PAMPA
2004193,451823,365538,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,permeability,0.01,10^6cm/s,Permeability across artificial membrane by PAMPA
2004194,451823,26820,Cc1cc(=O)n(-c2ccccc2)n1C,permeability,1.18,10^6cm/s,Permeability across artificial membrane by PAMPA
2005697,451955,365538,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,permeability,0.01,10^6cm/s,Permeability across artificial membrane by PAMPA model
2005698,451955,26820,Cc1cc(=O)n(-c2ccccc2)n1C,permeability,1.18,10^6cm/s,Permeability across artificial membrane by PAMPA model
2005699,451955,364520,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,permeability,8.67,10^6cm/s,Permeability across artificial membrane by PAMPA model
2024490,454792,388705,O=C(O)COc1c(C(=O)O)sc(-c2cccc(OC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,permeability,0,10^-6 cm/s,Permeability of compound by PAMPA
2024491,454792,409110,O=C1CN(c2c(Cl)sc(-c3ccccc3)c2Cl)S(=O)(=O)N1,permeability,3.54,10^-6 cm/s,Permeability of compound by PAMPA
2024492,454792,409088,Cc1c(N2CC(=O)NS2(=O)=O)csc1-c1cccc(NC2CCN(S(=O)(=O)Cc3ccccc3)CC2)c1,permeability,0.19,10^-6 cm/s,Permeability of compound by PAMPA
2024493,454792,409148,Cc1c(-c2cccc(OC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc(-c2nn[nH]n2)c1OCC(=O)O,permeability,0.22,10^-6 cm/s,Permeability of compound by PAMPA
2103473,463822,437873,CNCc1cc(NS(C)(=O)=O)ccc1Oc1ccc(Cl)cc1C,Papp,2.2,10^-6 cm/s,Membrane permeability by PAMPA assay
2103474,463822,437872,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,Papp,2.7,10^-6 cm/s,Membrane permeability by PAMPA assay
2103475,463822,437921,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1C,Papp,19,10^-6 cm/s,Membrane permeability by PAMPA assay
2103479,463822,437964,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1Cl,Papp,14,10^6cm/s,Membrane permeability by PAMPA assay
2103481,463822,437966,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1Cl,Papp,10,10^-6 cm/s,Membrane permeability by PAMPA assay
2103483,463822,427173,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1OC,Papp,15,10^-6 cm/s,Membrane permeability by PAMPA assay
2103484,463822,438014,CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1OC,Papp,14,10^-6 cm/s,Membrane permeability by PAMPA assay
2103485,463822,438013,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1OC,Papp,11,10^-6 cm/s,Membrane permeability by PAMPA assay
2384680,496144,608764,CCN(CC)CC.Nc1nc(-n2cc(CO)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384681,496144,608774,CCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384682,496144,608743,CCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,2.07,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384683,496144,608785,CCCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,2.65,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384684,496144,608746,CCCCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,1.61,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384685,496144,608778,CCCCCCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,0.03,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384686,496144,608780,CCCCCCCCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,0.05,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384687,496144,608799,CC(C)Cc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384688,496144,608738,CC(C)(C)c1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1.CCN(CC)CC,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384689,496144,608784,CCN(CC)CC.Nc1nc(-n2cc(C3CC3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384690,496144,608762,CCN(CC)CC.Nc1nc(-n2cc(C3CCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384691,496144,608795,CCN(CC)CC.Cc1ccccc1-c1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,permeability,0.18,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384692,496144,608798,CCN(CC)CC.Cc1cccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)c1,permeability,0.84,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384693,496144,608775,CCN(CC)CC.Cc1ccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)cc1,permeability,1.03,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384694,496144,608758,CCN(CC)CC.Nc1ccccc1-c1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,permeability,0.03,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384695,496144,608765,CCN(CC)CC.Nc1cccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)c1,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384696,496144,608777,CCN(CC)CC.Nc1ccc(-c2cn(-c3nc(N)c4ncn([C@@H]5O[C@H](COS(=O)(=O)NC(=O)c6ccccc6O)[C@@H](O)[C@H]5O)c4n3)nn2)cc1,permeability,0.33,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384697,496144,608773,CCN(CC)CC.Nc1nc(-n2cc(-c3ccccn3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.12,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384698,496144,608770,CCN(CC)CC.Nc1nc(-n2cc(-c3cccnc3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.46,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384699,496144,608757,CCN(CC)CC.Nc1nc(-n2cc(-c3ccncc3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384700,496144,608776,CCN(CC)CC.Nc1nc(-n2cc(-c3ccccc3O)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.12,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384701,496144,608788,CCN(CC)CC.Nc1nc(-n2cc(-c3cccc(O)c3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.09,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384702,496144,608772,CCN(CC)CC.Nc1nc(-n2cc(-c3ccc(O)cc3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.01,10'-6 cm/s,Apparent permeability by PAMPA membrane
2384742,496144,608737,CCN(CC)CC.Nc1nc(-n2cc(C3CCCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,permeability,0.39,10'-6 cm/s,Apparent permeability by PAMPA membrane
2257709,496469,493693,CC(=O)c1ccc(N2CCN(C(=O)c3cc(S(C)(=O)=O)ccc3N3CCOCC3)CC2)c(F)c1,permeability,3.1,10'-6 cm/s,Membrane permeability by PAMPA
2257710,496469,493766,CC(=O)c1ccc(N2CCN(C(=O)c3cc(S(N)(=O)=O)ccc3N3CCOCC3)CC2)c(F)c1,permeability,3.3,10'-6 cm/s,Membrane permeability by PAMPA
2257711,496469,493569,CC(=O)c1ccc(N2CCN(C(=O)c3cc([N+](=O)[O-])ccc3N3CCOCC3)CC2)c(F)c1,permeability,4.7,10'-6 cm/s,Membrane permeability by PAMPA
2257712,496469,493694,CNS(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)N2CCN(c3ccc(C(C)=O)cc3F)CC2)c1,permeability,5.3,10'-6 cm/s,Membrane permeability by PAMPA
2257713,496469,493692,CC(=O)c1ccc(N2CCN(C(=O)c3cc(C#N)ccc3N3CCOCC3)CC2)c(F)c1,permeability,6.1,10'-6 cm/s,Membrane permeability by PAMPA
2258444,496469,493571,CS(=O)(=O)c1ccc(OCC2CC2)c(C(=O)N2CCN(c3ccc(C#N)cc3F)CC2)c1,permeability,3.2,10'-6 cm/s,Membrane permeability by PAMPA
2641219,499398,480556,c1ccc(C2CCc3nc[nH]c3C2)cc1,Papp,47,10'-6 cm/s,Membrane permeability by PAMPA assay
2641220,499398,480632,c1ccc(C2Cc3nccn3C2)cc1,Papp,51,10'-6 cm/s,Membrane permeability by PAMPA assay
2641221,499398,480636,Clc1ccccc1C1CCc2nc[nH]c2C1,Papp,34,10'-6 cm/s,Membrane permeability by PAMPA assay
2641222,499398,480637,Clc1cccc(C2CCc3nc[nH]c3C2)c1,Papp,39,10'-6 cm/s,Membrane permeability by PAMPA assay
2641227,499398,480782,COCc1ccccc1C1CCc2nc[nH]c2C1,Papp,41,10'-6 cm/s,Membrane permeability by PAMPA assay
2641228,499398,480782,COCc1ccccc1C1CCc2nc[nH]c2C1,Papp,30,10'-6 cm/s,Membrane permeability by PAMPA assay
2641229,499398,480632,c1ccc(C2Cc3nccn3C2)cc1,Papp,27,10'-6 cm/s,Membrane permeability by PAMPA assay
2641230,499398,480785,Clc1ccccc1C1Cc2nccn2C1,Papp,51,10'-6 cm/s,Membrane permeability by PAMPA assay
2641231,499398,480786,Clc1ccc(C2Cc3nccn3C2)cc1,Papp,34,10'-6 cm/s,Membrane permeability by PAMPA assay
2641232,499398,480787,COc1ccccc1C1Cc2nccn2C1,Papp,57,10'-6 cm/s,Membrane permeability by PAMPA assay
2641233,499398,480788,COc1cccc(C2Cc3nccn3C2)c1,Papp,47,10'-6 cm/s,Membrane permeability by PAMPA assay
2641234,499398,480868,COc1ccc(C2Cc3nccn3C2)cc1,Papp,57,10'-6 cm/s,Membrane permeability by PAMPA assay
2641236,499398,480870,FC(F)Oc1ccccc1C1Cc2nccn2C1,Papp,35,10'-6 cm/s,Membrane permeability by PAMPA assay
2641238,499398,480872,N#Cc1ccccc1C1Cc2nccn2C1,Papp,23,10'-6 cm/s,Membrane permeability by PAMPA assay
2641239,499398,480873,COCc1ccccc1C1Cc2nccn2C1,Papp,25,10'-6 cm/s,Membrane permeability by PAMPA assay
2520732,500211,165078,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,permeability,0,10'-6 cm/s,Permeability by PAMPA method
2520734,500211,480154,CC(C)c1onc(-c2ccc(S(C)(=O)=O)cc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,permeability,0,10'-6 cm/s,Permeability by PAMPA method
2520735,500211,479437,CC(C)c1onc(-c2c(Cl)cncc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,permeability,0.09,10'-6 cm/s,Permeability by PAMPA method
2520736,500211,480220,Cc1cc(OCc2c(-c3c(Cl)cncc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1,permeability,0.19,10'-6 cm/s,Permeability by PAMPA method
2520737,500211,480221,Cc1cc(OCc2c(-c3c(Cl)c[n+]([O-])cc3Cl)noc2C(C)C)ccc1-c1ccc2c(C(=O)O)cn(C)c2c1,permeability,587,10'-6 cm/s,Permeability by PAMPA method
2520742,500211,480352,COc1ccc(Cl)c(-c2noc(C(C)C)c2COc2ccc(-c3ccc4c(C(=O)O)cn(C)c4c3)c(C)c2)n1,permeability,0.7,10'-6 cm/s,Permeability by PAMPA method
2642073,500556,479516,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,permeability,15,nM/s,Membrane permeability by PAMPA
2642074,500556,479576,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccccc3)o2)c1,permeability,106,nM/s,Membrane permeability by PAMPA
2642075,500556,479648,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3cccc4ncsc34)o2)c1,permeability,267,nM/s,Membrane permeability by PAMPA
2642076,500556,479720,COc1ccccc1Nc1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,permeability,15,nM/s,Membrane permeability by PAMPA
