smiles,log10_caco2,log10_pampa,log10_mdck,split
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)NCCOCCOCCOCCNC(=O)CCCCCCC(=O)NCCOCCOCCOCCNS(=O)(=O)c3ccc(Oc4c(F)cc(/C=C(\C)C(=O)N=C(N)N)cc4F)cc3)cc2)c(F)c1)C(=O)N=C(N)N,,-8.0,,train
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)NCCOCCOCCOCCn3cc(CO)nn3)cc2)c(F)c1)C(=O)N=C(N)N,,-6.045757490560675,,test
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)NCP(=O)(O)O)cc2)c(F)c1)C(=O)N=C(N)N,,-6.301029995663981,,train
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)NCc3ccc(CP(=O)(O)O)cc3)cc2)c(F)c1)C(=O)N=C(N)N,,-5.79317412396815,,train
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(CP(=O)(O)O)cc3)cc2)c(F)c1)C(=O)N=C(N)N,,-5.795880017344075,,train
C/C(=C\c1cc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(P(=O)(O)O)cc3)cc2)c(F)c1)C(=O)N=C(N)N,,-6.698970004336019,,test
C/C(=C\c1ccc(Oc2ccc(S(=O)(=O)NCCOCCOCCOCCNS(=O)(=O)c3ccc(Oc4c(F)cc(/C=C(\C)C(=O)N=C(N)N)cc4F)cc3)cc2)cc1)C(=O)N=C(N)N,,-7.0,,train
C/C(=N\NC(=N)N)c1ccc(NC(=O)Nc2ccc(OC3CCCCCC3)cc2)cc1,-7.4089353929735005,,,train
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,-8.0,,,train
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#CC3CC3)cc2)nc1C,-7.301029995663981,,,train
C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,-7.0,,,val
C/C(=N\NC1=NCCN1)c1sc(-c2ccc(C#CC3CC3)cc2)nc1C,-6.886056647693163,,,train
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(/F)CN,,-6.154901959985743,,train
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(\F)CN,,-6.259637310505756,,train
C/C(CN)=C(/F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,,-6.657577319177793,,train
C/C(CN)=C(\F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,,-6.309803919971486,,val
C/C1=C/CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCCC3)[C@@H]2CC1,-4.798602875679548,,,train
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCC(OCc4cccnc4)CC3)[C@@H]2CC1,-4.962573502059376,,,train
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCC(c4cc(O)nc(C)n4)CC3)[C@@H]2CC1,-5.568636235841013,,,train
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN[C@@H](Cc3ccccc3)C(=O)O)[C@@H]2CC1,-5.823908740944319,,,train
